Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0045087~innate immune response,17,6.204379562,0.003461528,"COLEC12, CD84, ANXA1, C1S, CFI, LY96, PARP14, LGALS3, IFI16, NPY, SERPING1, S100A12, CD14, SLC15A3, GBP2, TLR5, TRIM34",257,564,19416,2.277175263,0.998214839,0.37160517,0.369772596
GOTERM_BP_DIRECT,GO:0071346~cellular response to type II interferon,6,2.189781022,0.003699457,"CAMK2A, CCL3, CCL2, VIM, GBP2, HLA-DPA1",257,78,19416,5.811433702,0.998845432,0.375083881,0.373234153
GOTERM_BP_DIRECT,GO:0050918~positive chemotaxis,5,1.824817518,0.004538659,"LGALS3, GPNMB, ANGPT1, CCL3, S100A4",257,51,19416,7.406729229,0.999751956,0.392169851,0.390235862
GOTERM_BP_DIRECT,GO:0051897~positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,9,3.284671533,0.004571193,"TGFB2, XBP1, ERBB3, ANGPT1, CAT, CCL3, CHI3L1, MERTK, DDR2",257,196,19416,3.469070118,0.999766319,0.392169851,0.390235862
GOTERM_BP_DIRECT,GO:0090091~positive regulation of extracellular matrix disassembly,3,1.094890511,0.004601233,"PDPN, FSCN1, DDR2",257,8,19416,28.3307393,0.999778841,0.392169851,0.390235862
GOTERM_BP_DIRECT,GO:0030335~positive regulation of cell migration,11,4.01459854,0.004727527,"CCR1, SUN2, DAB2, XBP1, GPNMB, SYNPO2, PDPN, SEMA3B, CCL3, CCL2, CXCR4",257,285,19416,2.915912349,0.999824557,0.392169851,0.390235862
GOTERM_BP_DIRECT,GO:0070374~positive regulation of ERK1 and ERK2 cascade,9,3.284671533,0.005941238,"CCR1, PTPRC, GPNMB, ANGPT1, C5AR1, CCL3, CHI3L1, CD44, DDR2",257,205,19416,3.316769479,0.999981076,0.471424315,0.469099483
GOTERM_BP_DIRECT,GO:0032060~bleb assembly,3,1.094890511,0.007267289,"EMP1, ANO6, EMP3",257,10,19416,22.66459144,0.999998344,0.530512133,0.527895909
GOTERM_BP_DIRECT,GO:0002467~germinal center formation,3,1.094890511,0.007267289,"BCL6, KLHL6, ADA",257,10,19416,22.66459144,0.999998344,0.530512133,0.527895909
GOTERM_BP_DIRECT,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,4,1.459854015,0.007753711,"HLA-DRB5, HLA-DRA, IFI30, HLA-DPA1",257,31,19416,9.748211372,0.999999323,0.544250897,0.54156692
GOTERM_BP_DIRECT,GO:0045671~negative regulation of osteoclast differentiation,4,1.459854015,0.008473686,"MAFB, CCL3, TNFRSF11B, LILRB3",257,32,19416,9.443579767,0.99999982,0.552302755,0.54957907
GOTERM_BP_DIRECT,GO:0006904~vesicle docking involved in exocytosis,4,1.459854015,0.008473686,"GNAO1, RAB3A, EXOC7, CPLX2",257,32,19416,9.443579767,0.99999982,0.552302755,0.54957907
GOTERM_BP_DIRECT,GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide,7,2.554744526,0.009066959,"LGALS3, NPY, CCL3, DEFA3, S100A12, CCL2, CXCL1",257,135,19416,3.917336792,0.99999994,0.570593121,0.567779238
GOTERM_BP_DIRECT,GO:0007409~axonogenesis,6,2.189781022,0.010457805,"NTNG2, BRSK2, RAB3A, S100A6, CCK, APBB1",257,100,19416,4.532918288,0.999999995,0.636183116,0.633045775
GOTERM_BP_DIRECT,GO:0007267~cell-cell signaling,9,3.284671533,0.012073094,"CCR1, GJB1, GPNMB, NAMPT, SEMA3B, ADORA1, CCL3, MERTK, PCSK5",257,232,19416,2.930766134,1,0.697715031,0.694274244
GOTERM_BP_DIRECT,GO:0050778~positive regulation of immune response,4,1.459854015,0.012650513,"TGFB2, HLA-DRB5, HLA-DRA, HLA-DPA1",257,37,19416,8.167420339,1,0.697715031,0.694274244
GOTERM_BP_DIRECT,GO:0050870~positive regulation of T cell activation,4,1.459854015,0.012650513,"HLA-DRB5, HLA-DRA, CCL2, HLA-DPA1",257,37,19416,8.167420339,1,0.697715031,0.694274244
GOTERM_BP_DIRECT,GO:0007204~positive regulation of cytosolic calcium ion concentration,7,2.554744526,0.012998527,"CCR1, C5AR1, CCRL2, CXCR4, FPR3, S1PR3, CD24",257,146,19416,3.622194979,1,0.697715031,0.694274244
GOTERM_BP_DIRECT,GO:0070098~chemokine-mediated signaling pathway,5,1.824817518,0.013721394,"CCR1, CCRL2, CCL3, CCL2, CXCL1",257,70,19416,5.396331295,1,0.71547268,0.711944322
GOTERM_BP_DIRECT,GO:0017121~plasma membrane phospholipid scrambling,3,1.094890511,0.014195093,"PLSCR1, PLSCR4, ANO6",257,14,19416,16.18899389,1,0.719612363,0.71606359
GOTERM_BP_DIRECT,GO:0033077~T cell differentiation in thymus,4,1.459854015,0.014596355,"MAFB, FZD7, ADA, ZFP36L1",257,39,19416,7.74857827,1,0.719955324,0.71640486
GOTERM_BP_DIRECT,GO:0007399~nervous system development,13,4.744525547,0.015127525,"HES6, CNTFR, MBNL1, CXCL1, NDRG2, MERTK, CPLX2, NRGN, GJB1, DPYSL4, FABP7, ADORA1, APBA2",257,444,19416,2.212009675,1,0.726519303,0.722936469
GOTERM_BP_DIRECT,GO:0071356~cellular response to tumor necrosis factor,6,2.189781022,0.015860735,"CCL3, CYP1B1, CCL2, CHI3L1, GBP2, ZFP36L1",257,111,19416,4.083710169,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0006915~apoptotic process,16,5.839416058,0.018031682,"XBP1, STEAP3, GPR65, CXCR4, EMP1, TNFRSF11B, EMP3, ZFP36L1, DAB2, PLSCR1, PACS2, MAP3K10, MAL, CHI3L1, CD14, APBB1",257,620,19416,1.949642274,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0042308~negative regulation of protein import into nucleus,3,1.094890511,0.018398033,"ANGPT1, RAB23, CABP1",257,16,19416,14.16536965,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0010288~response to lead ion,3,1.094890511,0.018398033,"PLSCR1, MAP1LC3A, CAT",257,16,19416,14.16536965,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0090280~positive regulation of calcium ion import,3,1.094890511,0.018398033,"LGALS3, CCL3, CCL2",257,16,19416,14.16536965,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0002503~peptide antigen assembly with MHC class II protein complex,3,1.094890511,0.018398033,"HLA-DRB5, HLA-DRA, HLA-DPA1",257,16,19416,14.16536965,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0048566~embryonic digestive tract development,3,1.094890511,0.018398033,"TGFB2, PCSK5, ADA",257,16,19416,14.16536965,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0007166~cell surface receptor signaling pathway,11,4.01459854,0.01849495,"CCR1, FCGR2A, PTPRC, ANXA1, MS4A7, LY96, CCL2, CD14, LILRB3, MERTK, GEM",257,351,19416,2.367621138,1,0.733767024,0.730148447
GOTERM_BP_DIRECT,GO:0019722~calcium-mediated signaling,6,2.189781022,0.02012266,"CCR1, CCRL2, CCL3, CXCR4, ITPR2, ADA",257,118,19416,3.841456176,1,0.754527,0.750806045
GOTERM_BP_DIRECT,GO:0009636~response to toxic substance,5,1.824817518,0.020527256,"MAOB, CCL3, MBP, NUPR1, TYMS",257,79,19416,4.781559375,1,0.754527,0.750806045
GOTERM_BP_DIRECT,GO:0097242~amyloid-beta clearance,3,1.094890511,0.020671973,"MSR1, TYROBP, C5AR1",257,17,19416,13.33211261,1,0.754527,0.750806045
GOTERM_BP_DIRECT,GO:0048246~macrophage chemotaxis,3,1.094890511,0.020671973,"LGALS3, CCL3, CCL2",257,17,19416,13.33211261,1,0.754527,0.750806045
GOTERM_BP_DIRECT,GO:0001525~angiogenesis,9,3.284671533,0.024229663,"XBP1, COL27A1, ANGPT1, ANXA2, COL8A2, CYP1B1, CCL2, COL8A1, TGFBI",257,264,19416,2.575521755,1,0.86704188,0.862766057
GOTERM_BP_DIRECT,GO:0070256~negative regulation of mucus secretion,2,0.729927007,0.02619683,"ADORA1, ADA",257,2,19416,75.54863813,1,0.919407976,0.914873909
GOTERM_BP_DIRECT,GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,3,1.094890511,0.02814364,"HLA-DRB5, HLA-DRA, HLA-DPA1",257,20,19416,11.33229572,1,0.963749306,0.95899657
GOTERM_BP_DIRECT,GO:0007155~cell adhesion,14,5.109489051,0.028516418,"CCR1, COL16A1, GPNMB, PDPN, SPP1, CERCAM, CYP1B1, CCL2, COL8A1, TGFBI, CD24, CD44, ADA, DDR2",257,543,19416,1.947847024,1,0.963749306,0.95899657
GOTERM_BP_DIRECT,GO:0001666~response to hypoxia,7,2.554744526,0.030861301,"TGFB2, CAT, ADORA1, CXCR4, ITPR2, CD24, ADA",257,178,19416,2.971013859,1,0.99813703,0.99321471
GOTERM_BP_DIRECT,GO:0007162~negative regulation of cell adhesion,4,1.459854015,0.031174691,"ERBB3, ANGPT1, ARHGDIG, TGFBI",257,52,19416,5.811433702,1,0.99813703,0.99321471
GOTERM_BP_DIRECT,GO:0034446~substrate adhesion-dependent cell spreading,4,1.459854015,0.031174691,"FZD7, MERTK, SRCIN1, ANTXR1",257,52,19416,5.811433702,1,0.99813703,0.99321471
GOTERM_BP_DIRECT,GO:0014823~response to activity,4,1.459854015,0.032732539,"ZEB1, ANXA2, CAT, CXCR4",257,53,19416,5.70178401,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0030900~forebrain development,4,1.459854015,0.032732539,"NDST1, ZEB1, TYROBP, MAPK8IP3",257,53,19416,5.70178401,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0045921~positive regulation of exocytosis,3,1.094890511,0.033634271,"RAB3A, ANXA2, S100A10",257,22,19416,10.30208702,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0048545~response to steroid hormone,3,1.094890511,0.033634271,"ABCA2, DAB2, SPP1",257,22,19416,10.30208702,1,1,0.995614035
GOTERM_BP_DIRECT,"GO:0007187~G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",4,1.459854015,0.034330327,"CCR1, ANXA1, NPY, CCL2",257,54,19416,5.596195417,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0032880~regulation of protein localization,5,1.824817518,0.035826246,"DNAJB2, HSP90AA1, ARHGDIG, SFN, TRIM34",257,94,19416,4.018544582,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0090026~positive regulation of monocyte chemotaxis,3,1.094890511,0.036523177,"CCR1, ANO6, PLA2G7",257,23,19416,9.854170191,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0048663~neuron fate commitment,3,1.094890511,0.036523177,"NKX6-2, OLIG1, OLIG2",257,23,19416,9.854170191,1,1,0.995614035
GOTERM_BP_DIRECT,GO:2000392~regulation of lamellipodium morphogenesis,2,0.729927007,0.03903775,"PDPN, CD44",257,3,19416,50.36575875,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0006968~cellular defense response,4,1.459854015,0.03936157,"TYROBP, RAB23, C5AR1, LY96",257,57,19416,5.301658816,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0043627~response to estrogen,4,1.459854015,0.041117276,"HSP90AA1, CITED4, TNFRSF11B, CD24",257,58,19416,5.210250906,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0050890~cognition,4,1.459854015,0.041117276,"C5AR1, ST3GAL4, ADORA1, HLA-DRA",257,58,19416,5.210250906,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0007423~sensory organ development,3,1.094890511,0.042573357,"MAFB, OLIG1, OLIG2",257,25,19416,9.065836576,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0051928~positive regulation of calcium ion transport,3,1.094890511,0.045728889,"CCR1, CAMK2A, CCL3",257,26,19416,8.717150554,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0000226~microtubule cytoskeleton organization,6,2.189781022,0.04766091,"TUBA1C, BRSK2, TUBB6, MAP7D1, EML2, TUBA8",257,149,19416,3.042227039,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0098609~cell-cell adhesion,7,2.554744526,0.051597017,"ANXA1, ANXA2, COL8A2, CD24, MERTK, CD44, CNN3",257,202,19416,2.618022113,1,1,0.995614035
GOTERM_BP_DIRECT,GO:1905686~positive regulation of plasma membrane repair,2,0.729927007,0.051709997,"ANXA2, S100A10",257,4,19416,37.77431907,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0034369~plasma lipoprotein particle remodeling,2,0.729927007,0.051709997,"APOC1, PCSK5",257,4,19416,37.77431907,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0048245~eosinophil chemotaxis,3,1.094890511,0.052286924,"LGALS3, CCL3, CCL2",257,28,19416,8.094496943,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0007585~respiratory gaseous exchange by respiratory system,3,1.094890511,0.052286924,"NDST1, MAFB, MAPK8IP3",257,28,19416,8.094496943,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0042552~myelination,4,1.459854015,0.052460062,"ERBB3, MAL, MBP, OLIG2",257,64,19416,4.721789883,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0009410~response to xenobiotic stimulus,8,2.919708029,0.054726486,"ABCA2, HSP90AA1, SLC12A5, MAOB, ABCC8, CAT, TNFRSF11B, TYMS",257,257,19416,2.35170858,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0007160~cell-matrix adhesion,5,1.824817518,0.054745446,"ECM2, BCL6, ANXA2, SORBS1, CD44",257,108,19416,3.497622136,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0007017~microtubule-based process,3,1.094890511,0.055684036,"TUBA1C, TUBB6, TUBA8",257,29,19416,7.815376359,1,1,0.995614035
GOTERM_BP_DIRECT,GO:2000353~positive regulation of endothelial cell apoptotic process,3,1.094890511,0.055684036,"XBP1, CCL2, ANO6",257,29,19416,7.815376359,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0032731~positive regulation of interleukin-1 beta production,4,1.459854015,0.05654218,"TYROBP, IFI16, CCL3, LPL",257,66,19416,4.578705341,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0043433~negative regulation of DNA-binding transcription factor activity,4,1.459854015,0.058638292,"HES6, CEBPG, MAP3K10, NUPR1",257,67,19416,4.510366456,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0048714~positive regulation of oligodendrocyte differentiation,3,1.094890511,0.059156375,"NKX6-2, CXCR4, OLIG2",257,30,19416,7.554863813,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0007507~heart development,7,2.554744526,0.06007507,"TGFB2, ERBB3, MGRN1, LDB3, TAB2, PCSK5, ZFP36L1",257,210,19416,2.518287938,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0042110~T cell activation,4,1.459854015,0.060770649,"CD84, PTPRC, CD44, ADA",257,68,19416,4.444037537,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0009611~response to wounding,4,1.459854015,0.060770649,"CCR1, TGFB2, ADORA3, ZFP36L1",257,68,19416,4.444037537,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0001935~endothelial cell proliferation,3,1.094890511,0.062701387,"XBP1, COL8A2, COL8A1",257,31,19416,7.311158529,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0071560~cellular response to transforming growth factor beta stimulus,4,1.459854015,0.062938894,"ZEB1, SOX6, ZFP36L1, DDR2",257,69,19416,4.379631196,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0008285~negative regulation of cell population proliferation,11,4.01459854,0.063562809,"DNAJB2, TGFB2, SCIN, GPNMB, ADORA3, FABP7, PDPN, ADORA1, CYP1B1, CXCL1, NUPR1",257,435,19416,1.910425332,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0071621~granulocyte chemotaxis,2,0.729927007,0.064215779,"ANXA1, CCL3",257,5,19416,30.21945525,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0045629~negative regulation of T-helper 2 cell differentiation,2,0.729927007,0.064215779,"ANXA1, BCL6",257,5,19416,30.21945525,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0042632~cholesterol homeostasis,5,1.824817518,0.065880531,"ABCA1, ABCA2, XBP1, LPL, CD24",257,115,19416,3.284723397,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0007159~leukocyte cell-cell adhesion,3,1.094890511,0.066316567,"PTPRC, CERCAM, OLR1",257,32,19416,7.082684825,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0006909~phagocytosis,4,1.459854015,0.067381581,"ANXA1, ADORA1, CD14, MERTK",257,71,19416,4.256261303,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0006898~receptor-mediated endocytosis,4,1.459854015,0.069655265,"MSR1, DAB2, HIP1R, CD14",257,72,19416,4.197146563,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0044344~cellular response to fibroblast growth factor stimulus,3,1.094890511,0.069999466,"CCL2, CD44, ZFP36L1",257,33,19416,6.868058012,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0010951~negative regulation of endopeptidase activity,3,1.094890511,0.073747685,"SERPINH1, SERPING1, TIMP1",257,34,19416,6.666056306,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0000045~autophagosome assembly,4,1.459854015,0.074305359,"MAP1LC3A, PACS2, RAB23, ATG2A",257,74,19416,4.083710169,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0030308~negative regulation of cell growth,5,1.824817518,0.074501095,"DNAJB2, DAB2, TGFB2, BCL6, CCDC85B",257,120,19416,3.147859922,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0000165~MAPK cascade,5,1.824817518,0.074501095,"PTPRC, CCL3, MBP, MAPK8IP3, ZFP36L1",257,120,19416,3.147859922,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0031340~positive regulation of vesicle fusion,2,0.729927007,0.076557274,"ANXA1, ANXA2",257,6,19416,25.18287938,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0034103~regulation of tissue remodeling,2,0.729927007,0.076557274,"GPNMB, DDR2",257,6,19416,25.18287938,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0048752~semicircular canal morphogenesis,2,0.729927007,0.076557274,"SPARC, ZEB1",257,6,19416,25.18287938,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0097350~neutrophil clearance,2,0.729927007,0.076557274,"ANXA1, MERTK",257,6,19416,25.18287938,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0006032~chitin catabolic process,2,0.729927007,0.076557274,"CHI3L2, CHI3L1",257,6,19416,25.18287938,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0001818~negative regulation of cytokine production,3,1.094890511,0.085361048,"GPNMB, NDRG2, MERTK",257,37,19416,6.125565254,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0061564~axon development,3,1.094890511,0.085361048,"OLIG1, OLIG2, MAPK8IP3",257,37,19416,6.125565254,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0006641~triglyceride metabolic process,3,1.094890511,0.085361048,"APOC1, CAT, LPL",257,37,19416,6.125565254,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0043615~astrocyte cell migration,2,0.729927007,0.088736632,"CCL3, CCL2",257,7,19416,21.58532518,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0031630~regulation of synaptic vesicle fusion to presynaptic active zone membrane,2,0.729927007,0.088736632,"RAB3A, CPLX2",257,7,19416,21.58532518,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0035470~positive regulation of vascular wound healing,2,0.729927007,0.088736632,"XBP1, CXCR4",257,7,19416,21.58532518,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0070373~negative regulation of ERK1 and ERK2 cascade,4,1.459854015,0.091616065,"DAB2, XBP1, PTPRC, NDRG2",257,81,19416,3.730796945,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0002218~activation of innate immune response,3,1.094890511,0.093388183,"HSP90AA1, IFI16, GBP2",257,39,19416,5.811433702,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0050767~regulation of neurogenesis,3,1.094890511,0.093388183,"HES6, ANXA2, S100A10",257,39,19416,5.811433702,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0030324~lung development,4,1.459854015,0.096843613,"RAB3A, ANXA2, PDPN, CHI3L1",257,83,19416,3.640898223,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0030326~embryonic limb morphogenesis,3,1.094890511,0.097480762,"TGFB2, MBNL1, PRRX1",257,40,19416,5.66614786,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0050850~positive regulation of calcium-mediated signaling,3,1.094890511,0.097480762,"PTPRC, CCL3, ADA",257,40,19416,5.66614786,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0043542~endothelial cell migration,3,1.094890511,0.097480762,"CYP1B1, S100A12, FSTL1",257,40,19416,5.66614786,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0051607~defense response to virus,7,2.554744526,0.097551939,"PLSCR1, SLFN11, PTPRC, IFI16, DEFA3, GBP2, TRIM34",257,239,19416,2.212721619,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0055085~transmembrane transport,7,2.554744526,0.098497177,"SLC35B2, ABCA2, GJB1, SV2B, ABCC8, ATP6V0E2, SLC25A22",257,240,19416,2.203501946,1,1,0.995614035
GOTERM_BP_DIRECT,GO:0008203~cholesterol metabolic process,4,1.459854015,0.099502101,"ABCA1, LIPE, APOC1, CAT",257,84,19416,3.597554197,1,1,0.995614035
GOTERM_CC_DIRECT,GO:0062023~collagen-containing extracellular matrix,22,8.02919708,4.90E-08,"COLEC12, SERPINA3, TGFB2, HSP90AA1, ANXA1, COL27A1, SPARC, COL16A1, ANXA2, ANGPT1, SEMA3B, LGALS3, PLSCR1, S100A6, SERPINH1, COL8A2, SERPING1, COL8A1, S100A4, COL9A3, TGFBI, S100A10",270,391,20666,4.306640144,1.61E-05,1.61E-05,1.53E-05
GOTERM_CC_DIRECT,GO:0030667~secretory granule membrane,11,4.01459854,8.02E-07,"LGALS3, FCGR2A, RAB3A, TYROBP, PTPRC, FABP5, C5AR1, ITPR2, CD14, LILRB3, CD44",270,101,20666,8.336120279,2.64E-04,9.33E-05,8.82E-05
GOTERM_CC_DIRECT,GO:0045121~membrane raft,15,5.474452555,8.84E-07,"ABCA1, ANXA2, ANGPT1, RFTN1, SORBS1, TUBA1C, PLSCR1, PTPRC, PDPN, SERPINH1, OLR1, MAL, CD14, CD24, S100A10",270,214,20666,5.365005192,2.91E-04,9.33E-05,8.82E-05
